endpoint,method,classification,mutation_kind,owner,risk,required_boundary,current_status,next_action,notes
/api/pipeline/run-after-game,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/train-strikeouts,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/platoon-splits/sync,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/predictions/grade,POST,REPLACE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/predictions/save,POST,REPLACE,review_required,TBD,HIGH,router mutation middleware + rate limit,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/prop-board/analyze,POST,REPLACE,review_required,TBD,HIGH,router mutation middleware + rate limit,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Mutation/workflow-sensitive
/api/propline/props,POST,REPLACE,review_required,TBD,MEDIUM,router mutation middleware + rate limit,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/refresh-sources,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Mutation/workflow-sensitive
/api/savant/sync,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/season-cache/backfill,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/umpire/sync,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/unified-prop-card/predict,POST,REPLACE,review_required,TBD,HIGH,router mutation middleware + rate limit,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Mutation/workflow-sensitive
/api/upload,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy file/import mutation path; Mutation/workflow-sensitive
/api/weather/build,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/weather/sync,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
